kelurahan,unit_id,kecamatan,score,intersection_density,avg_block_length,sidewalk_pct,amenity_pct,n_int,n_block,n_sidewalk,n_amenity
Kujangsari,76,Bandung Kidul,84.2555347634576,146.10557341840598,58.685427759661216,0.0,100.0,100.0,97.51844921152536,0.0,100.0
Mengger,77,Bandung Kidul,84.26760922929026,169.56921445745786,70.28760535696908,1.342062441754887,98.15950920245399,100.0,94.20354132658026,6.710312208774435,100.0
Wates,78,Bandung Kidul,84.86509814650391,112.7645372704964,51.57385495745435,0.0,93.23308270676691,100.0,99.55032715501304,0.0,100.0
Karanganyar,79,Astanaanyar,99.31312986394056,252.49646782390417,53.236713656929005,19.454083284141195,100.0,100.0,99.07522466944886,97.27041642070597,100.0
Cibadak,80,Astanaanyar,99.6436125661748,267.90806093187797,54.15785339462743,21.088712274663894,100.0,100.0,98.81204188724931,100.0,100.0
Panjunan,81,Astanaanyar,95.91393950886874,189.6036131901808,62.11497345950486,15.9364877405303,100.0,100.0,96.53857901157004,79.68243870265151,100.0
Nyengseret,82,Astanaanyar,88.16256023586288,148.13616944582728,50.66122147827943,4.292315150096735,100.0,100.0,99.81107957763446,21.46157575048368,100.0
Cijagra,83,Lengkong,98.979269988558,181.65139767055322,44.288690083649364,18.63902665141066,100.0,100.0,100.0,93.1951332570533,100.0
Turangga,84,Lengkong,93.69751228954661,256.46171677008743,46.677517553191805,11.596683052728821,100.0,100.0,100.0,57.9834152636441,100.0
Lingkar Selatan,85,Lengkong,100.0,136.69450848995274,49.61992588861011,26.13560972721275,100.0,100.0,100.0,100.0,100.0
Malabar,86,Lengkong,86.13033212194513,208.83441061244827,61.375582720012694,2.8071760924997053,100.0,100.0,96.7498335085678,14.035880462498525,100.0
Burangrang,87,Lengkong,87.86141927324971,159.35297701165038,52.63624988285344,4.116511398563802,100.0,100.0,99.24678574775616,20.58255699281901,100.0
Paledang,88,Lengkong,91.75188688612036,278.46685479462735,49.400513066917824,9.002515848160472,100.0,100.0,100.0,45.01257924080237,100.0
Cikawao,89,Lengkong,90.29539028726572,229.54048529806818,49.820684655467,7.060520383020955,100.0,100.0,100.0,35.30260191510477,100.0
Balonggede,90,Regol,99.00252860944578,248.0218060340784,48.96271661045596,18.6700381459277,100.0,100.0,100.0,93.3501907296385,100.0
Pungkur,91,Regol,85.38717249213136,207.2283559002872,57.04841858917391,1.3217635425569139,100.0,100.0,97.98616611737889,6.608817712784569,100.0
Ciateul,92,Regol,95.20490896923467,285.18267504757677,54.08433587037818,14.073326534641822,100.0,100.0,98.83304689417767,70.36663267320911,100.0
Ancol,93,Regol,88.8235683306853,170.37196080922098,62.02734092632163,6.472644356302879,100.0,100.0,96.56361687819383,32.3632217815144,100.0
Pasirluyu,94,Regol,86.68244011279738,204.2455435393943,52.82742481289601,2.566387748060819,100.0,100.0,99.19216433917258,12.831938740304095,100.0
Ciseureuh,95,Regol,87.24510838412962,337.75009132195845,45.70920566719706,2.9934778455061672,100.0,100.0,100.0,14.967389227530836,100.0
Karasak,96,Astanaanyar,90.74339028729133,393.99946928576213,39.29350296644586,7.657853716388452,100.0,100.0,100.0,38.28926858194226,100.0
Cigereleng,97,Regol,99.97946630761348,260.9454872333384,48.04255923909484,19.972621743484638,100.0,100.0,100.0,99.86310871742319,100.0
Pelindung Hewan,98,Astanaanyar,93.86126491254159,249.21141430840726,47.805778870911965,11.815019883388786,100.0,100.0,100.0,59.075099416943935,100.0
Dago,99,Coblong,88.40340056781682,213.0801974404231,53.82036876986407,4.9744809974545126,100.0,100.0,98.90846606575312,24.87240498727256,100.0
Sadang Serang,100,Coblong,87.92058861774706,360.4093754294689,47.66918412759251,3.8941181569960697,100.0,100.0,100.0,19.47059078498035,100.0
Sekeloa,101,Coblong,87.47529063850371,221.8555877258732,50.467317506931124,3.353795233082794,100.0,100.0,99.86648071230539,16.768976165413967,100.0
